n,trial,encoding,vars,valid_pct,best_len,t_s
6,0,onehot,36,100.0,186.3,0.5
6,0,domainwall,30,99.8,187.4,0.4
6,1,onehot,36,100.0,183.0,0.4
6,1,domainwall,30,99.6,183.0,0.4
6,2,onehot,36,100.0,220.5,0.4
6,2,domainwall,30,99.6,220.5,0.4
8,0,onehot,64,100.0,198.1,0.9
8,0,domainwall,56,96.2,193.5,0.7
8,1,onehot,64,100.0,276.6,0.9
8,1,domainwall,56,97.8,274.8,0.7
8,2,onehot,64,100.0,246.7,0.8
8,2,domainwall,56,95.4,246.6,0.7
10,0,onehot,100,100.0,263.5,1.5
10,0,domainwall,90,88.8,283.4,1.4
10,1,onehot,100,100.0,344.5,1.4
10,1,domainwall,90,89.6,354.3,1.5
10,2,onehot,100,100.0,271.8,1.4
10,2,domainwall,90,88.6,269.8,1.3
12,0,onehot,144,100.0,386.8,2.2
12,0,domainwall,132,76.8,397.1,2.2
12,1,onehot,144,100.0,247.5,2.2
12,1,domainwall,132,74.2,289.8,2.0
12,2,onehot,144,100.0,310.0,2.2
12,2,domainwall,132,77.0,302.3,2.2
14,0,onehot,196,100.0,399.2,3.2
14,0,domainwall,182,62.4,396.2,3.0
14,1,onehot,196,100.0,469.5,3.0
14,1,domainwall,182,55.0,479.6,2.7
14,2,onehot,196,100.0,479.8,3.0
14,2,domainwall,182,63.0,438.2,3.4
